Q1,Q2,Q3,Q4_CoD,Q4_CoS,Q4_IA,Q4_CoC,Q4_CoE,Q5,Q6,Q6_6_TEXT,Q7,Q7_8_TEXT,Q8,Q8_5_TEXT,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
Yes,Atlanta,College of Sciences,,School of Biological Sciences,,,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Full waiver,,1,,15-20,I spend more than 20hrs/week on TAing and I feel a bit stressed due to not enough time for my own study.,Yes,Monthly,1050,,No. But would like to know why there's compensation difference from class to class.,5,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Office hours,Responding to questions on Piazza/Canvas",,Half waiver,,2,,15-20,,Yes,Monthly,1100,,,7,Better understanding of concepts by answering questions
Yes,Atlanta,College of Engineering,,,,,School of Mechanical Engg,Master's,Graduate Teaching Assistant,,"Grading assignments,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Full waiver,,0,,10-15,No,Yes,Monthly,2350,,,7,Confidence in front of others
Yes,Atlanta,College of Sciences,,School of Psychology,,,,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Teaching classes",,Full waiver,,10,,10-15,,Yes,Monthly,2200,,,0,
Yes,Atlanta,College of Engineering,,,,,School of Mechanical Engg,Master's,Lab Teaching Assistant,,"Grading assignments,Conducting lab sessions",,Full waiver,,N/A,,15-20,sometimes I take longer than to grade assignments than expected,Yes,Monthly,2119,,I don't know when I am paid,7,Working with students
Yes,Atlanta,College of Computing,,,,School of Cybersecurity,,PhD,Head Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Full waiver,,2,,15-20,,Yes,Monthly,2475,,,4,
Yes,Atlanta,College of Computing,,,,School of Cybersecurity,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,N/A,,10-15,,Yes,Monthly,1035,,,7,Interaction with students/peers
Yes,Atlanta,College of Design,School of Industrial Design,,,,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Teaching classes,Other (Please specify)",Running errands,Other (Please specify),"I don't think it's proper to call it a full waiver. It's a waiver that covers the base tuition, but most colleges are more expensive than the base. So let's call it a partial waiver until that discrepancy is resolved.",0,,10-15,"I think the hours are fine, but the pay is terrible — especially since the tuition waiver doesn't cover full tuition.",Yes,Monthly,1200,,"I would like a cheaper insurance option with a higher deductible (I don't want a higher deductible, but I realize that's how it works). Pay needs to keep up with the cost of food and housing around Atlanta (not the CPI or general inflation). Atlanta has grown considerably in the last 10 years and it has gotten extremely expensive. My apartment in SF was cheaper than Atlanta.",5,
Yes,Atlanta,College of Design,School of Building Construction,,,,,Master's,Head Teaching Assistant,,Teaching classes,,Don't know,,Don't know,,5-10,,No,,,,,10,
No,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Industrial & Systems Engg,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,0,,10-15,No,Yes,Monthly,931,,It should be increased by another 100$.,9,Communication skills
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Head Teaching Assistant,,"Grading assignments,Office hours,Holding recitations,Teaching classes",,Other (Please specify),"On fellowship, so this covers my tuition",3,,5-10,No,No,,,,,6,
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Conducting lab sessions",,Full waiver,,Don't know,,10-15,No,Yes,Monthly,1474,,Np,1,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,N/A,,5-10,,Yes,Hourly,,,,7,
Yes,Atlanta,College of Engineering,,,,,School of Mechanical Engg,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Teaching classes,Conducting lab sessions,Other (Please specify)",ME 2110 studio hours,Full waiver,,2,,10-15,,Yes,Monthly,2350,,compensation was before fees and health insurance therefore net pay was much less ,10,social/soft skills. how to interact with people that have a passion for learning
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours",,Full waiver,,1,,10-15,,Yes,Monthly,1400,,,8,communication
Yes,Atlanta,College of Engineering,,,,,School of Biomedical Engg,PhD,Head Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Teaching classes",,Full waiver,,2,,10-15,,Yes,Hourly,,,,,
Yes,Atlanta,College of Computing,,,,School of Computational Science & Engg,,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,3,,10-15,,Yes,Monthly,1040,,I feel it is less for the efforts we put in since we work with a big batch of students,9,"Problem Solving, understanding concepts further, improving communication skills"
Yes,Atlanta,College of Sciences,,School of Biological Sciences,,,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Holding recitations",,Full waiver,,0,,10-15,No,Yes,Hourly,,13,,8,Communication 
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Other (Please specify)",Creating assignments and autograders,Full waiver,,N/A,,10-15,,Yes,Monthly,1050,,,6,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,0,,10-15,,Yes,Monthly,1040,,,6,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours",,Full waiver,,N/A,,10-15,,Yes,Monthly,1050,,,7,"Administrative skills, peer-learning "
Yes,Atlanta,College of Computing,,,,School of Interactive Computing,,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Full waiver,,N/A,It's variable depends on whether the professor wants us to TA,10-15,I think the number of hours for a TA should be increased as everyone usually works more than the given number of hours,Yes,Monthly,1050,,I think the hourly rate for TA should be raised,10,Leadership
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Responding to questions on Piazza/Canvas",,Full waiver,,0,,15-20,,Yes,Monthly,1050,,,9,How to look at the question from the point of view of a teacher and figure out other alternatives to the standard solution
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,Don't know,,15-20,No,Yes,Monthly,1050,,,10,"Code Debugging, Communication, Explaining Concepts"
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,Grading assignments,,Full waiver,,1,,,,Yes,Monthly,,,,0,
Yes,Atlanta,College of Computing,,,,School of Interactive Computing,,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Other (Please specify)",Holding tutorials,Full waiver,,N/A,,15-20,,Yes,Monthly,1050,,,,
Yes,Atlanta,College of Computing,,,,School of Interactive Computing,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Holding recitations",,Full waiver,,1,,10-15,No,Yes,Monthly,1050,,No,10,Leadership and Being responsible for others
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Responding to questions on Piazza/Canvas",,Full waiver,,0,,15-20,Slightly more at times,Yes,Monthly,1050,,Slightly higher would be great! Would help us cover for rent and expenses in Atlanta.,7,"Patience, Punctuality"
Yes,Atlanta,College of Computing,,,,School of Interactive Computing,,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Other (Please specify)","Holding Project seminars, creating assignments",Full waiver,,3,,10-15,I work more than 14 hours a week.,Yes,Monthly,1050,,I havent been paid for the month of January since my hiring paperwork is still processing.,5,
Yes,Atlanta,College of Computing,,,,School of Computational Science & Engg,,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,1,,10-15,No. It is accurate,Yes,Monthly,1050,,,0,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,1,,5-10,,Yes,Monthly,1050,,TA pay for this school is way lower than that paid by other schools or colleges at Georgia Tech for same amount of work. It would be great if you can increase the pay of TAs in this school,10,
No,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Design,School of Music,,,,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Teaching classes",,Other (Please specify),"Full waiver but did not include supplemental fees, which was ~$2000/semester.",Don't know,,10-15,"In addition to typical TA work, my position also required me to record/stream concerts. Some weeks have many concerts and some had none, so my hours would vary quite a bit week to week.",Yes,Monthly,1000,,,3,
Yes,Atlanta,College of Sciences,,School of Physics,,,,PhD,Graduate Teaching Assistant,,"Grading exams,Responding to questions on Piazza/Canvas,Other (Please specify)",Writing quiz and test keys,Full waiver,,0,,10-15,No discrepancy,Yes,Monthly,2200,,,8,I think the most useful skill I learned was learning how to communicate with a variety of people at different levels of physics knowledge. 
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,0,,15-20,I’m hired for 13 1/3 hours but I usually end up working more than 15 hours a week. ,Yes,Monthly,1050,,,8,Understanding course logistics from an instructor’s POV.
Yes,Atlanta,College of Computing,,,,School of Interactive Computing,,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,2,,10-15,,Yes,Monthly,,,,,
Yes,Atlanta,College of Engineering,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Sciences,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Engineering,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,0,,15-20,,Yes,Hourly,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Online,College of Computing,,,,School of Computational Science & Engg,,Master's,,,,,Other (Please specify),This is a Test,9,,,test,Yes,Monthly,100,,test,6,
Yes,Atlanta,College of Computing,,,,School of Cybersecurity,,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Full waiver,,2,,15-20,,Yes,Monthly,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,PhD,Head Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,Don't know,,15-20,,Yes,Monthly,,,,,
Yes,Atlanta,College of Engineering,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Computing,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Computing,,,,School of Computational Science & Engg,,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Don't know,,2,,,,,,,,,,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Head Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,0,,,,,,,,,,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,Don't know,,<5,,Yes,Monthly,,,,,
Yes,Atlanta,College of Computing,,,,School of Interactive Computing,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,0,,5-10,No,Yes,Monthly,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Computing,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,N/A,,,,,,,,,,
Yes,Atlanta,College of Computing,,,,School of Interactive Computing,,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours",,Full waiver,,Don't know,,5-10,,Yes,Monthly,,,,,
Yes,Atlanta,College of Computing,,,,School of Interactive Computing,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Full waiver,,Don't know,,5-10,No,Yes,Monthly,,,,,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,0,,10-15,,Yes,Monthly,,,,,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,0,,10-15,,Yes,Monthly,,,,,
Yes,Atlanta,College of Engineering,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Computing,,,,School of Interactive Computing,,Master's,Graduate Teaching Assistant,,Grading assignments,,Full waiver,,N/A,,,,,,,,,,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,0,,10-15,,Yes,Monthly,,,,,
Yes,Online,College of Computing,,,,School of Cybersecurity,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Did not get a waiver,,Don't know,,15-20,No,Yes,Hourly,,17,,5,
Yes,Online,College of Computing,,,,School of Cybersecurity,,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Did not get a waiver,,0,,15-20,,Yes,Monthly,1905.2,,,10,"I've been very happy to get exposure to curriculum development, the mechanics if class/course management, and interacting with students at MOOC scale."
Yes,Online,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Did not get a waiver,,3,,15-20,"Definitely, I am working more than the required hours, with the high number of students per class there is alway many things to do.",Yes,Hourly,,22,I think there could room for improvement,7,
Yes,Online,College of Computing,,,,School of Computer Science,,Master's,Head Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Other (Please specify)",Creating curriculum,Did not get a waiver,,Don't know,,15-20,no,Yes,Hourly,,20,,8,
No,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Computing,,,,,,,,,,,,,,,,,,,,,,,
Yes,Online,College of Computing,,,,School of Cybersecurity,,Master's,Hourly grader,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Did not get a waiver,,0,,5-10,,Yes,Hourly,,17,,8,Honing my leading and explanation skills without giving away too much of a solution.
No,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Sciences,,,,,,,,,,,,,,,,,,,,,,,
Yes,Online,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Don't know,,0,,15-20,Some weeks I work more hours than what I get paid for. ,Yes,Hourly,,17,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Other (Please specify),,1,,10-15,,Yes,Monthly,,,,,
Yes,Online,College of Computing,,,,School of Computer Science,,Master's,Other (Please specify),IA,Responding to questions on Piazza/Canvas,,Did not get a waiver,,N/A,"Alum, A grade, qualified",>20,No,Yes,Monthly,2000,,n/a,6,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Responding to questions on Piazza/Canvas",,Full waiver,,0,,5-10,,Yes,Monthly,1050,,,8,
Yes,Online,College of Computing,,,,School of Computer Science,,Master's,Other (Please specify),Instructional Associate,"Grading assignments,Grading exams,Responding to questions on Piazza/Canvas",,Did not get a waiver,,0,,10-15,,Yes,Monthly,1700,,,3,
Yes,Online,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,N/A,,,,,,,,,,
Yes,Online,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Did not get a waiver,,N/A,Voluntary so long as you took class you TA for,15-20,No,Yes,Hourly,,17,"Having to log hours, and being unable to manually edit them if we forget to time out, is annoying as hell and a waste of time. They have to be reviewed anyway before being approved. There is no purpose to that requirement other than to annoy us.",5,
No,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Online,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Did not get a waiver,,0,,15-20,Worked more hours than 20 almost every week due to workload.,Yes,Monthly,1430,,,9,Patience
Yes,Atlanta,College of Engineering,,,,,School of Civil & Environmental Engg,PhD,Head Teaching Assistant,,"Grading assignments,Office hours",,Other (Please specify),Additional pay after my GRA,Don't know,,<5,,No,,,,,,
Yes,Online,College of Computing,,,,School of Computer Science,,Master's,Hourly grader,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Don't know,,0,,15-20,,Yes,Hourly,,17,,10,Soft skills and being able to explain very complex topics using everyday examples.
Yes,Online,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Responding to questions on Piazza/Canvas,Other (Please specify)",Creating quizes; creating tutorials,Did not get a waiver,,3,,15-20,The number of hours regularly exceeds the 19 required each week.,Yes,Monthly,1750,,"When required to develop new projects for student assignments, the amount of time can be 3x normal weeks",8,improved analytic reasoning skills; deeper understanding of many concepts
Yes,Online,College of Computing,,,,School of Computer Science,,Master's,Hourly grader,,Grading assignments,,Did not get a waiver,,0,,10-15,no,Yes,Hourly,,17,,3,
Yes,Online,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Responding to questions on Piazza/Canvas",,Did not get a waiver,,0,,10-15,No,Yes,Hourly,,,,,
Yes,Atlanta,College of Computing,,,,School of Computational Science & Engg,,Master's,Graduate Teaching Assistant,,"Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,0,,10-15,,Yes,Hourly,,,,,
Yes,Atlanta,College of Computing,,,,School of Interactive Computing,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,1,,,,,,,,,,
Yes,Atlanta,College of Design,School of Architecture,,,,,PhD,Instructor,,"Grading assignments,Grading exams,Office hours,Teaching classes,Other (Please specify)",Teaching Studio,Full waiver,,N/A,NA,10-15,NA,Yes,Monthly,2265,,paid for 9 months,10,teaching experience
No,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Computing,,,,School of Cybersecurity,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,N/A,,10-15,,Yes,Monthly,1050,,,5,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Other (Please specify)",administrative overhead,Did not get a waiver,,N/A,"for OMS-CS it's semester to semester, no long term requirement",15-20,no,Yes,Hourly,,17,"I think it's pretty fair, though $20/hr would be more in line with current pay. Wish I didn't have to use the time clock.",10,patience with students
Yes,Atlanta,College of Design,School of Architecture,,,,,PhD,Graduate Teaching Assistant,,Teaching classes,,Full waiver,,0,,15-20,,Yes,Monthly,,,,2,
Yes,Online,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Did not get a waiver,,N/A,,15-20,"Generally, I went over on the number of hours by a little bit. In the past as a head TA, there were weeks where I had to go to 25-30 hrs. ",Yes,Monthly,1700,,,5,
No,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Computing,,,,,,,,,,,,,,,,,,,,,,,
Yes,Online,College of Computing,,,,School of Computer Science,,Master's,Head Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Holding recitations,Other (Please specify)",Developing content,Did not get a waiver,,N/A,,>20,Paid for 20 hrs but often the work is more. ,Yes,Monthly,1900,,,10,"Leadership, Competence and confidence in technical material, Human pscyhology"
Yes,Online,College of Computing,,,,School of Computer Science,,Master's,Other (Please specify),Instructional Associate,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Other (Please specify)",Responding to students in Slack,Other (Please specify),"None, became IA after graduating",Don't know,,5-10,"No, there are enough TA's in the course I assist with to prevent over work",Yes,Monthly,900,,,4,
Yes,Online,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Responding to questions on Piazza/Canvas",,Don't know,,0,,15-20,,Yes,Hourly,,21,,7,Working in an online educational environment. It transfers over to my career especially when we went remote.
Yes,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Design,School of Architecture,,,,,PhD,Instructor,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations,Teaching classes,Conducting lab sessions",,Other (Please specify),tuition waiver but no support for fees and insurance,8,,>20,i had to do double the hours i was hired to cover the needs of the class,Yes,Monthly,2250,,1/4th of the compensation i have to pay back to the school and every semester there is a payment delay of at least one month at the beginning. it halts my daughter's ssi and medicaid.,3,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,PhD,Graduate Teaching Assistant,,"Grading assignments,Responding to questions on Piazza/Canvas",,Full waiver,,N/A,,5-10,,Yes,Monthly,,,,,
Yes,Online,College of Engineering,,,,,School of Electrical & Computer Engg,Master's,Other (Please specify),Instructional Associate,"Grading assignments,Responding to questions on Piazza/Canvas",,Don't know,,1,,15-20,No,Yes,Monthly,1833,,,6,
Yes,Atlanta,College of Engineering,,,,,School of Materials Sci & Engg,PhD,Head Teaching Assistant,,"Holding recitations,Teaching classes",,Did not get a waiver,,5,,5-10,,No,,,,,4,
Yes,Atlanta,Ivan Allen College,,,School of Economics,,,PhD,Graduate Teaching Assistant,,"Office hours,Holding recitations",,Other (Please specify),"Almost-full waiver. It’s listed in my award package as “full” but I STILL have to pay a small piece of tuition, which is bullshit. Don’t write “full tuition waiver” and then charge me tuition.",N/A,"Not sure how to answer this. Econ sucks. We are assigned GTA/GRA roles less than 3 weeks before the terms begin. Also, PhD students have to teach full courses but are still listed as “GTAs.” Moreover, we only get a $500/SEMESTER pay bump for teaching an entire 75-student course over being a GTA for the same course. Also, we’re told not to spend more than 20 hr/week on teaching, which is impossible the first time someone teaches a course. ",10-15,"Yes. There always are. I’m hired for up to 20hrs/week, but consistently I don’t have much to do until the faculty member I’m assisting decides to remember I exist and give me 30+ hours of work. During terms when I have to teach, I’m spending about 35hrs/week while only being paid for 20.",Yes,Monthly,2100,,They are pathetic and insufficient. Why does the school insist on paying me effectively minimum wage?,1,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,2,,15-20,n/a,Yes,Monthly,978,,Have GTA compensation match GRA pay; currently making twice my GTA pay as a Graduate Research Assistant,7,Ability to contextualize different perspectives
Yes,Online,College of Computing,,,,School of Computer Science,,Master's,Hourly grader,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Did not get a waiver,,0,,15-20,,Yes,Hourly,,17,No,7,Learning what technical requirements make a product fail or succeed.
Yes,Atlanta,College of Design,School of Architecture,,,,,PhD,Graduate Teaching Assistant,,"Grading assignments,Teaching classes,Conducting lab sessions,Other (Please specify)",desk crits,Full waiver,,N/A,,15-20,"no, but there is a discrepancy between hours that a GTA works for a class e.g. Design Studio and an elective. The studio GTA work way more and get paid the same.",Yes,Monthly,1300,,"GRAs are paid more that GTA, and GTA for elective classes work much less than those GTA for studio. Studio meets 3 times a week, and lasts 4 hours. We are required to be in school of 12 hours, in addition to responding emails and meeting students sometimes on weekends, etc",6,
Yes,Online,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,1,,10-15,,Yes,Monthly,,,,6,
Yes,Atlanta,College of Computing,,,,School of Interactive Computing,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Full waiver,,0,,5-10,No,Yes,Monthly,1050,,,8,
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Other (Please specify)",creating assignments,Full waiver,,N/A,,10-15,NO,Yes,Monthly,1042,,,8,
Yes,Atlanta,College of Computing,,,,School of Interactive Computing,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Responding to questions on Piazza/Canvas",,Full waiver,,1,,10-15,No ,Yes,Monthly,1042,,Increase the compensation monthly,10,"Managing time, looking at detail"
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Holding recitations",,Full waiver,,1,,10-15,None,Yes,Monthly,1050,,No,8,"Leadership, Managing a team"
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,0,,5-10,,Yes,Monthly,1050,,,5,
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,Master's,Graduate Teaching Assistant,,"Grading assignments,Responding to questions on Piazza/Canvas",,Full waiver,,1,,5-10,,Yes,Monthly,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Full waiver,,1,,15-20,No,Yes,Monthly,1050,,Processing with HR and OIE is too tiresome. My file is is still not processed even after two months of this semester and thus I haven't received my salary.,9,Communication skills and circuit debugging
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,0,,15-20,,Yes,Monthly,1050,,,,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,N/A,,10-15,,Yes,Monthly,1051,,,,
